Word,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,MCDI_AoA
button,0.18,0.15,0.29,0.38,0.39,0.39,0.56,0.61,0.63,0.67,0.72,0.69,0.89,0.77,0.91,22
coat,0.09,0.16,0.25,0.36,0.39,0.44,0.56,0.69,0.65,0.68,0.71,0.78,0.82,0.81,0.9,22
diaper,0.28,0.32,0.49,0.55,0.53,0.69,0.7,0.8,0.81,0.89,0.88,0.87,0.96,0.92,0.96,19
hat,0.33,0.37,0.54,0.62,0.68,0.69,0.78,0.85,0.86,0.86,0.92,0.89,0.96,0.93,0.95,18
jacket,0.06,0.09,0.19,0.27,0.29,0.34,0.46,0.5,0.58,0.65,0.66,0.76,0.82,0.76,0.83,24
jeans,0.02,0.03,0.05,0.09,0.12,0.17,0.22,0.24,0.34,0.38,0.41,0.43,0.6,0.54,0.65,28
mittens,0.03,0.02,0.1,0.11,0.16,0.2,0.22,0.26,0.36,0.37,0.41,0.5,0.55,0.55,0.63,28
necklace,0.04,0.09,0.13,0.19,0.19,0.26,0.3,0.4,0.45,0.49,0.54,0.56,0.75,0.63,0.75,26
pajamas,0.06,0.08,0.2,0.23,0.3,0.34,0.46,0.61,0.61,0.71,0.73,0.77,0.87,0.83,0.92,23
pants,0.07,0.11,0.24,0.33,0.36,0.48,0.58,0.66,0.69,0.74,0.78,0.86,0.92,0.89,0.97,22
scarf,0,0,0.03,0.04,0.07,0.09,0.13,0.12,0.15,0.17,0.21,0.21,0.35,0.33,0.42,NA
shirt,0.09,0.16,0.3,0.37,0.42,0.48,0.65,0.69,0.72,0.75,0.8,0.84,0.93,0.86,0.96,22
shoe,0.51,0.6,0.76,0.83,0.87,0.81,0.92,0.95,0.94,0.94,0.96,0.97,0.98,0.97,0.98,16
shorts,0.04,0.05,0.11,0.16,0.18,0.23,0.34,0.43,0.48,0.54,0.65,0.71,0.82,0.73,0.81,25
slipper,0.03,0.02,0.09,0.13,0.14,0.22,0.29,0.37,0.38,0.39,0.51,0.48,0.7,0.57,0.67,26
sneaker,0.01,0.02,0.04,0.08,0.11,0.1,0.2,0.18,0.2,0.29,0.31,0.36,0.47,0.39,0.48,NA
sock,0.3,0.22,0.44,0.47,0.46,0.44,0.5,0.6,0.72,0.75,0.83,0.78,0.95,0.79,0.9,23
sweater,0.07,0.19,0.2,0.3,0.36,0.4,0.53,0.62,0.51,0.53,0.62,0.65,0.68,0.75,0.81,22
zipper,0.03,0.05,0.15,0.24,0.23,0.29,0.38,0.47,0.51,0.59,0.63,0.61,0.77,0.67,0.82,24
ankle,0,0.01,0.04,0.07,0.08,0.12,0.12,0.18,0.19,0.24,0.29,0.3,0.49,0.36,0.51,30
arm,0.08,0.18,0.24,0.36,0.38,0.51,0.57,0.69,0.72,0.77,0.81,0.81,0.93,0.89,0.96,21
belly button,0.22,0.3,0.38,0.48,0.54,0.57,0.67,0.72,0.75,0.78,0.83,0.83,0.91,0.83,0.95,20
cheek,0.06,0.11,0.2,0.29,0.33,0.4,0.55,0.53,0.6,0.67,0.67,0.78,0.84,0.79,0.86,22
chin,0.05,0.05,0.19,0.28,0.29,0.34,0.49,0.5,0.56,0.62,0.72,0.7,0.83,0.8,0.84,24
ear,0.31,0.45,0.59,0.7,0.7,0.75,0.84,0.92,0.87,0.9,0.93,0.95,0.97,0.95,0.97,18
eye,0.43,0.48,0.67,0.73,0.74,0.74,0.83,0.9,0.92,0.92,0.96,0.94,0.99,0.96,0.98,18
face,0.05,0.06,0.16,0.26,0.23,0.33,0.44,0.52,0.6,0.62,0.76,0.72,0.86,0.79,0.88,23
finger,0.07,0.19,0.28,0.38,0.43,0.52,0.6,0.71,0.73,0.75,0.83,0.84,0.91,0.88,0.96,21
foot,0.14,0.15,0.39,0.44,0.46,0.48,0.63,0.71,0.76,0.84,0.87,0.91,0.95,0.9,0.97,22
hand,0.11,0.15,0.29,0.39,0.49,0.57,0.66,0.77,0.74,0.82,0.86,0.89,0.95,0.93,0.95,21
head,0.12,0.17,0.28,0.41,0.41,0.51,0.62,0.7,0.74,0.76,0.8,0.85,0.93,0.87,0.96,21
knee,0.1,0.13,0.24,0.34,0.34,0.41,0.53,0.6,0.67,0.73,0.76,0.73,0.87,0.79,0.91,22
leg,0.04,0.09,0.18,0.29,0.27,0.39,0.52,0.59,0.66,0.71,0.78,0.79,0.89,0.85,0.95,22
