Word,Length,LgSUBTLWF,OLD
afro,4,1.763,2
aft,3,2.258,1.5
after,5,4.542,1.85
afterbirth,10,0.778,4.55
aftercare,9,0.778,3.5
aftereffect,11,0.602,5.4
afterglow,9,1.23,4.25
afterlife,9,1.914,3.9
aftermath,9,1.732,3.65
afternoon,9,3.669,3.75
afternoons,10,2.009,4.3
afternoon's,11,,
aftershave,10,1.748,4.45
aftertaste,10,1.079,3.85
afterthought,12,1.146,5.5
afterward,9,2.053,3.6
afterwards,10,2.854,3.75
again,5,4.607,1.95
against,7,4.012,2.9
Agamemnon,9,1.863,4.85
Agamemnon's,11,,
agape,5,,1.95
agar,4,0.301,1.9
Agatha,6,,2.95
age,3,3.606,1.1
aged,4,2.265,1.65
ageless,7,1.204,2.55
agencies,8,2.217,2.9
agency,6,2.997,2.6
agenda,6,2.573,2.6
agent,5,3.719,1.9
agents,6,3.031,1.95
agent's,7,,
ages,4,2.754,1.35
Aggie,5,2.029,2.05
Aggies,6,0.602,2.15
agglomerate,11,,4.65
agglomeration,13,,4.6
agglutinating,13,,5
agglutination,13,,4.7
aggrandize,10,0.301,4.6
aggravate,9,1.58,3.55
aggravated,10,1.813,3.75
aggravates,10,1,4.15
aggravation,11,1.778,3.55
aggregate,9,1.041,3.5
aggregation,11,0.477,3.45
aggregations,12,,3.6
aggression,10,2.158,3
aggressions,11,0.699,3.2
aggressive,10,2.608,3.3
aggressively,12,1.556,4.4
aggressiveness,14,1.322,5.1
aggressor,9,1.477,3.75
aggrieve,8,,3.35
aggrieved,9,1.041,3.6
aghast,6,0.903,2.9
agile,5,1.322,2
agilely,7,,2.9
agility,7,1.38,2.6
aging,5,2.121,1.8
agitate,7,1.362,2.6
agitated,8,2.111,2.7
agitating,9,0.903,2.9
agitation,9,1.415,2.55
agitator,8,1.079,2.85
agitators,9,1.146,3.25
agleam,6,,2.85
aglow,5,1.398,1.9
Agnes,5,,1.95
agnostic,8,1.301,3.3
agnostics,9,,3.7
ago,3,4.164,1.8
agonies,7,1.114,2.35
agonize,7,0.778,2.6
agonized,8,1.114,2.75
agonizes,8,,2.7
agonizing,9,1.568,3.6
agony,5,2.283,2
agoraphobia,11,0.903,5.5
agrarian,8,0.954,2.95
agree,5,3.518,1.9
agreeable,9,1.914,3.6
agreeableness,13,,5.55
agreeably,9,0.602,3.7
agreed,6,3.263,2.1
agreeing,8,2.029,2.8
agreement,9,2.951,3.4
agreements,10,1.623,3.65
agrees,6,2.342,1.9
agricultural,12,1.69,4.6
agriculturalist,15,0.477,5.95
agriculturally,14,,5.7
agriculture,11,1.756,4.2
agriculture's,13,,
agriculturist,13,,5.3
Agrippa,7,,3.65
agronomy,8,,3.3
aground,7,1.415,2.55
ah,2,4.023,1.35
ahead,5,4.005,1.95
ahem,4,2.593,1.9
ahoy,4,2.279,2
aid,3,2.851,1
aide,4,2.017,1.35
aided,5,1.532,1.65
aides,5,1.518,1.6
aiding,6,1.74,1.6
aids,4,1.74,1.35
ail,3,1.079,1
ailerons,8,0.699,3.45
ailing,6,1.431,1.45
ailment,7,1.431,2.45
ailments,8,1.505,2.75
aim,3,2.88,1.4
aimed,5,2,1.75
aiming,6,2.288,1.85
aimless,7,1.176,2.15
aimlessly,9,1.342,3.3
aims,4,1.785,1.7
ain't,5,,
air,3,3.851,1.45
airbase,7,0.778,2.85
airbed,6,,2.1
airbladder,10,,4.3
airborne,8,2.334,3.35
airbrake,8,,3.45
airbus,6,,2.65
aircraft,8,2.684,3.6
aircraft's,10,,
aircrew,7,0.602,3
aircushion,10,,3.75
airdrop,7,0.477,2.8
airdrops,8,,3.25
aired,5,1.663,1.55
airfield,8,2.075,3.1
airfields,9,0.903,3.6
airflow,7,0.903,3.25
airforce,8,,3.35
airframe,8,,3.45
airily,6,,2.45
airless,7,0.778,2.15
airlift,7,1.176,2.9
airline,7,2.521,2.4
airliner,8,1.477,2.75
airlines,8,2.283,2.7
airlock,7,1.633,2.9
airmail,7,1.255,3
airman's,8,,
airmen,6,1.544,2.45
airpark,7,,3.1
airplane,8,2.747,2.7
airplanes,9,2.217,3.35
airport,7,3.288,2.7
airports,8,1.851,2.95
airs,4,1.602,1.55
airshaft,8,,3.7
airship,7,1.491,2.75
airsick,7,1.23,2.9
airspace,8,1.919,3.1
airspeed,8,1.398,3.35
airstrip,8,1.763,3.45
airstrips,9,0.602,3.6
airtight,8,1.763,2.95
airway,6,1.924,2.3
airways,7,1.663,2.55
airy,4,1.23,1.65
aisle,5,2.58,1.9
ajar,4,1.38,1.85
akin,4,1.176,1.9
Akron,5,1.591,1.95
Al,2,3.725,1.2
Alabama,7,2.369,3.1
Alabamans,9,,3.8
alabaster,9,1.544,3.85
Alamo,5,1.869,2
Alamogordo,10,,5.2
Alan,4,3.224,1.75
alarm,5,3.183,1.95
alarmed,7,2.182,2
alarming,8,1.771,2.25
alarmingly,10,0.954,3.55
alarmist,8,1.255,2.85
alarms,6,2.199,2.05
alas,4,2.292,1.75
Alaska,6,2.35,2.85
albacore,8,0.954,3.95
Albania,7,1.544,2.8
Albanian,8,1.708,3.1
Albanians,9,0.301,3.5
Albany,6,2.033,2.75
albatross,9,1.613,4
albeit,6,1.591,2.8
Albert,6,2.978,2.15
albino,6,1.778,2.8
album,5,2.719,2.3
albumin,7,0.699,2.95
albums,6,2.079,2.6
alchemist,9,1.176,3.65
alchemy,7,1.079,2.95
alcohol,7,2.927,3.35
alcoholic,9,2.501,3.7
alcoholics,10,1.74,4.1
alcoholism,10,1.643,4.2
alcohols,8,,3.35
alcove,6,1.398,2.5
alcoves,7,0.477,2.65
alderman,8,1.623,3
aldermen,8,0.301,3.2
ale,3,2.308,1
alehouse,8,0.301,2.8
alert,5,3.022,1.85
alerted,7,1.964,2.15
alerting,8,1.279,2.45
alertly,7,0.477,2.8
alertness,9,0.699,3
alerts,6,1.176,2
Alex,4,,1.85
Alexander,9,2.687,3.25
Alexander's,11,,
Alexandria,10,1.591,4.85
Alexei,6,,2.85
Alexis,6,,2.65
Alex's,6,,
alfalfa,7,1.532,3.75
Alfonso,7,1.653,3.05
Alfred,6,2.572,2.3
alfredo,7,,2.9
Alfred's,8,,
alga,4,,1.9
algae,5,1.362,1.95
algaecide,9,,4.35
algebra,7,1.959,3.1
algebraic,9,0.602,4.2
algebraically,13,,5.65
Algeria,7,1.38,2.7
Algerian,8,1.342,2.65
Algerians,9,0.699,3.3
algorithm,9,1.447,4.5
alias,5,2.32,1.95
alibi,5,2.63,2.5
alibis,6,1.771,2.65
Alice,5,3.131,1.75
Alicia,6,,2.7
alien,5,2.949,1.8
alienable,9,,2.8
alienate,8,1.477,2.7
alienated,9,1.623,2.75
alienates,9,,3.2
alienation,10,1.362,2.85
aliens,6,2.692,1.9
alight,6,1.342,1.7
align,5,1.544,1.9
aligned,7,1.613,2.55
aligning,8,0.845,2.7
alignment,9,1.833,2.75
alignments,10,0.301,3.3
alike,5,2.763,1.85
aliment,7,,2.5
alimony,7,2.124,2.85
alive,5,3.897,1.8
alkali,6,1.279,2.8
alkaline,8,1.23,3.4
alkalis,7,,3.1
all,3,5.42,1.2
Allah,5,2.354,1.9
Allan,5,2.267,1.8
allay,5,1.255,1.75
allegation,10,1.447,2.65
allegations,11,2.045,3.15
allege,6,1.079,2.4
alleged,7,2.31,2.5
allegedly,9,2.057,3.8
allegiance,10,2.204,3.45
allegiances,11,1,3.85
alleging,8,1.23,2.8
allegoric,9,,3.7
allegorical,11,0.954,4.5
allegory,8,1.114,3.2
allegretto,10,,4.65
allegro,7,1.431,2.85
Alleluia,8,1.505,3.85
Allen,5,2.785,1.75
Allen's,7,,
allergen,8,0.602,2.85
allergic,8,2.617,3.2
allergies,9,2.146,3.35
allergy,7,1.94,2.7
alleviate,9,1.38,3.4
alleviating,11,0.699,3.8
alleviation,11,,3.2
alley,5,2.92,1.65
alleys,6,1.771,1.8
alleyway,8,1.613,3.45
alleyways,9,0.954,3.65
alliance,8,2.668,2.55
alliances,9,1.23,2.8
alliance's,10,,
allied,6,2.17,1.9
allies,6,2.417,1.85
alligator,9,2.253,3.55
alligatored,11,,4.65
Allison,7,,2.95
Allison's,9,,
alliterate,10,,2.95
alliteration,12,1,3.2
alliterative,12,0.301,4.15
allocable,9,,3.2
allocate,8,0.954,2.7
allocated,9,0.903,2.7
allocation,10,1.041,2.7
allocations,11,0.602,3.2
allopathic,10,,4.3
allopathy,9,,3.65
allot,5,0.954,1.85
alloted,7,,2.25
allotment,9,1.301,3.35
allotments,10,0.301,3.65
allotted,8,1.176,2.6
allotting,9,0.301,2.85
allow,5,3.355,1.5
allowable,9,0.778,3.4
allowance,9,2.425,3.2
allowances,10,1.415,3.55
allowed,7,3.359,1.85
