Word,Dom_PoS
agitation,Noun
agitato,Noun
agitator,Noun
agitators,Noun
agitprop,Noun
aglet,Noun
aglow,Adjective
agnate,Noun
agnates,Noun
agnosia,Noun
agnostic,Noun
ago,Adverb
agog,Adjective
agonal,Adjective
agonies,Noun
agonised,Verb
agonising,Adjective
agonist,Noun
agonize,Verb
agonized,Verb
agonizing,Adjective
agony,Noun
agora,Noun
agoraphobia,Noun
agoraphobiac,Noun
agoraphobic,Adjective
agoraphobics,Noun
agoras,Noun
agos,Noun
agr,Verb
agrarian,Adjective
agreat,Verb
agree,Verb
agreeable,Adjective
agreeably,Adverb
agreed,Verb
agreeing,Verb
agreement,Noun
agreements,Noun
agrees,Verb
agrement,Noun
agrestic,Noun
agribusiness,Noun
agricultural,Adjective
agriculturalist,Noun
agriculture,Noun
agricultures,Noun
aground,Adverb
agt,#N/A
agua,Name
aguacate,Noun
aguardiente,Noun
ague,Noun
aguinaldo,Name
agura,Noun
agust,#N/A
agy,Noun
ah,Interjection
aha,Interjection
ahab,Name
ahchoo,Noun
ahead,Adverb
ahem,Interjection
ahi,Noun
aho,Noun
ahold,Noun
ahorse,Verb
ahoy,Noun
ahs,Noun
ahu,Noun
ai,Unclassified
aid,Noun
aidable,Adjective
aide,Noun
aided,Verb
aider,Noun
aides,Noun
aiding,Verb
aids,Noun
aikido,Noun
ail,Verb
ailed,Verb
aileron,Noun
ailerons,Noun
ailing,Adjective
ailment,Noun
ailments,Noun
ails,Verb
aim,Verb
aimed,Verb
aimer,Noun
aiming,Verb
aimless,Adjective
aimlessly,Adverb
aims,Verb
ain,Noun
aint,#N/A
ainu,Noun
aioli,Noun
air,Noun
airbag,Noun
airbags,Noun
airbase,Noun
airboat,Noun
airborne,Adjective
airbrush,Noun
airbrushed,Verb
airbrushing,Verb
airburst,Verb
aircraft,Noun
aircrafts,Noun
aircraftsman,Noun
aircrew,Verb
airdate,Noun
airdrome,Noun
airdromes,Noun
airdrop,Noun
aire,Noun
aired,Verb
airedale,Name
airedales,Name
airfare,Noun
airfares,Noun
airfield,Noun
airfields,Noun
airflow,Noun
airfoil,Noun
airhead,Noun
airheads,Noun
airiness,Noun
airing,Verb
airings,Noun
airless,Adjective
airlift,Noun
airlifted,Verb
airlifting,Verb
airlifts,Noun
airline,Noun
airliner,Noun
airliners,Noun
airlines,Noun
airlock,Noun
airlocks,Noun
airmail,Noun
airman,Name
airmen,Noun
airmobile,Noun
airplane,Noun
airplanes,Noun
airplay,Noun
airport,Noun
airports,Noun
airs,Noun
airship,Noun
airships,Noun
airsick,Adjective
airsickness,Noun
airspace,Noun
airspeed,Noun
airstream,Noun
airstrike,Noun
airstrikes,Noun
airstrip,Noun
airstrips,Noun
airtight,Adjective
airtime,Noun
airwave,Noun
airwaves,Noun
airway,Noun
airways,Noun
airworthy,Adjective
airy,Adjective
ais,Noun
aisle,Noun
aisles,Noun
ait,Verb
aiwan,Adjective
ajar,Adjective
ajax,Name
ajog,Noun
ajoint,Noun
ak,Noun
aka,Noun
akamatsu,Name
akasa,Noun
akasha,Noun
ake,Verb
aked,Verb
akee,Noun
akela,Name
akey,Noun
akimbo,Noun
akin,Adjective
aking,Verb
akkadian,Adjective
ako,Noun
akra,Name
akron,Name
aku,Noun
al,Name
ala,Noun
alabama,Name
alabaster,Noun
alack,Verb
alackaday,Noun
alacrity,Noun
aladdin,Name
alai,Noun
alameda,Name
alamo,Noun
alamos,Name
alan,Name
alar,Name
alarm,Noun
alarmed,Verb
alarming,Adjective
alarmingly,Adverb
alarmist,Noun
alarms,Noun
alarum,Noun
alarums,Noun
alas,Interjection
alaska,Name
alaskan,Adjective
alaskans,Noun
alaskas,Name
alastor,Name
alb,Name
alba,Name
albacore,Noun
alban,Name
albania,Name
albanian,Adjective
albanians,Noun
albany,Name
albatross,Noun
albatrosses,Noun
albe,Name
albee,Name
albeit,Conjunction
alberich,Name
albert,Name
alberta,Name
albinism,Noun
albino,Noun
albinos,Noun
albion,Name
album,Noun
albumens,Noun
albumin,Noun
albums,Noun
albuquerque,Name
albus,Name
alc,Name
alcalde,Noun
alcazar,Name
alce,Noun
alchemical,Adjective
alchemically,Adverb
alchemist,Noun
alchemists,Noun
alchemize,Verb
alchemy,Noun
alcibiades,Name
alcmene,Name
alcohol,Noun
alcoholic,Noun
alcoholics,Noun
alcoholism,Noun
alcove,Noun
alcoves,Noun
ald,Noun
aldebaran,Name
aldehydes,Noun
alden,Name
alder,Noun
alderman,Noun
aldermen,Noun
alders,Noun
aldrin,Name
aldrins,Name
ale,Noun
alec,Name
alecs,Noun
alee,Noun
alef,Verb
alehouse,Noun
aleikum,Noun
alem,Noun
alembic,Adjective
aleph,Noun
alert,Adjective
alerted,Verb
alerting,Verb
alertly,Adverb
alertness,Noun
alerts,Noun
ales,Noun
aleutian,Name
aleutians,Name
alexander,Name
alexanders,Name
alexandria,Name
alexandrian,Name
alexandrine,Noun
alexia,Name
alf,Name
alfa,Name
alfalfa,Noun
alfonso,Name
alfred,Name
alfresco,Noun
alg,Verb
algae,Noun
algebra,Noun
algebraic,Adjective
algeria,Name
algerian,Adjective
algerians,Noun
algiers,Name
algin,Noun
alginate,Verb
algonquin,Noun
algorismic,Adjective
algorithm,Noun
algorithmic,Adjective
algorithmically,Adverb
algorithms,Noun
alguacil,Noun
alhambra,Name
alia,Noun
alias,Noun
aliases,Noun
alibi,Noun
alibied,Verb
alibiing,Verb
alibis,Noun
alice,Name
alien,Adjective
alienate,Verb
alienated,Verb
alienating,Verb
alienation,Noun
alienist,Noun
aliens,Noun
alight,Verb
alighted,Verb
alighting,Verb
align,Verb
aligned,Verb
aligning,Verb
alignment,Noun
alignments,Noun
aligns,Verb
alike,Adverb
alimentary,Adjective
alimonies,Noun
alimony,Noun
aline,Name
alinements,Noun
alison,Name
alit,Adjective
ality,Noun
alive,Adjective
aliyah,Interjection
alk,Verb
alkali,Noun
alkaline,Adjective
alkalinize,Verb
alkalize,Verb
alkaloid,Noun
alkaloids,Noun
alkalosis,Noun
alkane,Noun
alky,Adjective
alkyd,Noun
alkylating,Adjective
all,Determiner
allah,Name
allan,Name
allay,Verb
allayed,Verb
allaying,Verb
allays,Verb
allegation,Noun
allegations,Noun
allege,Verb
alleged,Adjective
allegedly,Adverb
alleges,Verb
allegheny,Name
allegiance,Noun
allegiances,Noun
allegiant,Noun
alleging,Verb
allegorical,Adjective
allegories,Noun
allegory,Noun
allegro,Noun
allele,Noun
alleles,Noun
alleluia,Interjection
allemande,Name
allemands,Verb
allen,Name
allene,Noun
aller,Unclassified
allergen,Noun
allergens,Noun
allergic,Adjective
allergies,Noun
allergist,Noun
allergists,Noun
allergy,Noun
alleviate,Verb
alleviated,Verb
alleviates,Verb
alleviating,Verb
alley,Noun
alleys,Noun
alleyway,Noun
alleyways,Noun
allez,Verb
allgood,Name
allhallows,Name
alliance,Noun
alliances,Noun
allied,Adjective
allies,Noun
alligator,Noun
alligators,Noun
alliteration,Noun
alliterations,Noun
alliterative,Adjective
allium,Name
allo,Noun
allocate,Verb
allocated,Verb
allocates,Verb
allocating,Verb
allocation,Noun
allocations,Noun
allocution,Noun
allograft,Noun
allopurinol,Noun
allot,Noun
allotment,Noun
allotments,Noun
allots,Verb
allotted,Verb
allotting,Verb
allover,Verb
allow,Verb
allowable,Adjective
