wipe,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,6,,,,,,,7,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,7,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,5,,,,,,,,,,,,,4,,,6,,,,,,,,,,,,1,,,,,,,,,,6,,,,4,,,,,,,,7,,,,,,,,,,,,,,,6,7,7,5,7,1,7,2,5,7,3,5,,2,5,2,4,6,,1,5,1,7,2,,7,7,,1,4,3
job,7,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,4,,,,,,,,1,,,,1,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,6,,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,7,,,,,,7,,,,,,3,,,,,,,,,,2,,,,,,4,,,,,,,,,,,,,,,,,7,1,7,5,2,4,6,7,6,7,3,1,7,1,4,,,1,4,1,4,1,3,1,4,1,,7,,1,
artist,,,,,,,1,,,,,,4,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,3,,4,,,,,,,,,,7,,,,,,,,,,,,,,,3,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,2,,,,,,,,,,,,7,,,,,,1,,,,,,,,,5,,,,,,2,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,7,3,7,2,1,7,7,4,4,7,3,1,7,2,7,7,,5,,2,4,1,,2,3,7,7,7,,1,
newspaper,,,,,7,,,,,,,,,,7,3,,,,,,,,,,,,5,1,,,,,,,4,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,7,,,,,,,,,,,,,1,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,7,,,,7,,,,,,,,,,,,,,,3,,,,,,,4,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,1,4,7,3,4,7,7,7,3,7,4,3,7,3,7,,7,6,7,4,,7,,,6,,7,,,7,
steer,,,,,,,,,,1,,,,,,,,,,,1,,7,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,7,1,,,,,,,,,,,,,,,,,,,4,,,4,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,2,,,,,,1,,,,,,2,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,6,3,6,2,7,1,7,2,5,7,1,1,7,1,7,,2,5,1,1,4,1,,1,,1,7,1,,3,2
jelly,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,7,,,,,,,,,,,,,,7,,,,,3,,,,,,,,,,,,7,,,,4,,,,,,7,,,,,,,,,7,,,,,,,,7,,,,,,,,,,,,,,,3,,,,,,,,,,,,4,,,,,,,,,,,,,,7,,,,,,7,,,,,,,,,,,,,,,,,,,,1,,,,,,7,,,,,,,,,,,,,,,,5,,,,,,7,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,4,4,,4,1,6,6,7,1,6,7,3,7,7,,4,7,,7,4,,,6,7,,3,,7,
ideal,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,3,6,,,,,1,,,,,,,,,,7,,,1,,,,,,1,,,,3,,,,,,,,,,,,,,,,,,,1,,5,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,2,2,1,1,3,1,3,7,3,1,7,1,1,1,3,1,,1,1,1,,,,,,1,1,1,1
skateboard,,,7,,,,,,,,,,,,3,,,,,,,,,5,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,5,,,,,,,,,,,,5,,,,,,,,,6,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,7,,,,,,,,,7,,,,,,,,1,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,1,,,,,,,6,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,7,7,4,7,7,7,6,7,3,2,,3,7,7,7,6,7,,,,6,,6,7,7,7,5,7,5
grandmother,,,,,,,1,,,,6,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,7,,,,,,,,7,,,,,,,,,,,,6,,,,,,,,,,7,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,7,,,,,,,7,,,,,,,,,,6,,,,7,,,,,,,,,,,,1,,,,,,,,,,,,,7,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,7,7,7,7,6,7,7,4,,3,7,,6,7,,7,,,,,,,7,1,,7,7
interesting,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,3,,,,,,,,7,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,3,,,,,,,,,,,,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,4,,5,6,,,,,,,,,7,1,3,1,1,1,7,2,3,7,1,1,7,1,1,1,,2,1,,2,1,1,1,1,1,,7,,1,
contest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,1,,,,,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,5,,,,,,,,,,,,5,,,2,,,,,,,,,,,,4,,,,,,,,6,,,,,,,,,3,,,,,,,,1,,,,,,,,,,,,,,,,3,,1,,,,,,,,,,2,,,,,,,,,,,,,,6,3,7,4,1,1,6,2,6,7,3,1,7,1,5,,3,2,1,1,2,,1,1,,4,4,,,1,4
